labels,text
pt,Cora também foi analista para a ESPN e estudou na Universidade de Miami.
fr,"Archail-Draix est une ancienne commune française, située dans le département des Alpes-de-Haute-Provence en région Provence-Alpes-Côte d'Azur."
pt,Ela se graduou do grupo em 19 de abril de 2017.
it,"Llanddona è villaggio con status di community del Galles nord-occidentale, situato nell'isola di Anglesey."
vi,Loài này được (Spruce) Schiffner mô
ko,"바다표범, 레밍, 북극곰의 번식지이다."
ar,هوراس كاربينتير هو سياسي أمريكي ، ولد في يوليو 1824 في غالواي في الولايات المتحدة ، وتوفي في 31 يناير 1918 في نيويورك في الولايات المتحدة .
es,Su población es de 19883 habitantes (2011).
ja,日本語では「君去りし後」ないし「君去りしのち」の曲名で言及されることもある。
de,im frühen Film ungewöhnlich natürliche und subtile Darstellungskunst.
ru,Тираж издания: 50 000 экземпляров.
fr,Il a été naturalisé français fin 1999.
es,"Fue reemplazado por Taavi Rõivas, quien formó un nuevo gobierno de coalición con la SDE."
vi,Đây cũng là địa điểm chính của Đại hội
pt,Weligton Robson Pena de Oliveira mais conhecido como Weligton é um ex-futebolista brasileiro.
ja,湯西川温泉（ゆにしがわおんせん）は、栃木県日光市（旧下野国）の日光国立公園内にある温泉である。
it,"Salvatore Pietrocola è stato un militare e carabiniere italiano, insignito della medaglia d'oro al valor militare alla memoria durante il corso della Guerra d'Etiopia."
zh,贝尔南 是法国伊泽尔省的一个市镇，位于该省中南部偏东，属于格勒诺布尔区。
en,"Forever Love is a 1998 television film, partially based on Annie Shapiro's awakening, starring Reba McEntire and Bess Armstrong."
ru,SAIC не смогла приобрести права на торговую марку Rover и создал марку Roewe в качестве замены.
fr,"Le col, situé entre le Lauberhorn et la crête de l'Eiger, comporte un complexe d'hôtels et de bâtiments ferroviaires."
ru,Tachyporinae (лат.) — подсемейство жуков-стафилинид.
pt,"Sauzelles é uma comuna francesa na região administrativa do Centro, no departamento de Indre."
tr,"Yüzölçümü 176,93 km² olan belediyenin nüfusu 2021 yılı itibarı ile 8.895'tir."
zh,体育中心站是一个位于中国天津市南开区体育中心街道凌宾路天津奥林匹克中心体育场西侧，属于天津地铁5号线的地铁车站。
zh,由于离地球较远通信不畅，空间探测器通常有较完备的自动化系统，甚至具有一定程度的人工智能，以便在无人控制的情况下按實際情況來進行任務。
tr,Southwark Birleşik Krallık'ın başkenti Londra'da bulunan bir semttir.
vi,"đầu thế kỷ 21, Newsweek bắt đầu phát triển mạnh ấn bản trực tuyến như một hướng phát triển mới của tạp chí."
zh,各卡乡，是中华人民共和国四川省甘孜藏族自治州稻城县下辖的一个乡镇级行政单位。
tr,"Bizans mutfağı, Bizans İmparatorluğu mutfak kültürüdür."
en,"Founded in 1946 they have been competing in AFC Champions League since 1970 and have become one of the most successful teams in Aisa, winning two major continental trophies including two Asian cups and are ranked joint second among all clubs across the continent in this regard."
it,Conta una popolazione di circa 650 abitanti.
ko,하계 올림픽을 통해
ko,달렌빌역(독일어: Dallenwil)은 스위스 니트발덴주의 달렌빌에 있는 기차역이다.
en,He was a member of the Liberal Party.
en,O'Day is a prominent lunar impact crater that is located on the far side of the Moon.
it,"La Fondazione Giovanni Agnelli è un istituto di ricerca nel campo delle scienze sociali, fondato a Torino dalla FIAT e dall'Istituto Finanziario Industriale (IFI) nel 1966 per onorare il centenario della nascita del fondatore della FIAT, il senatore Giovanni Agnelli."
it,"Ladislao IV fu Re di Polonia, figlio di Sigismondo III Vasa e di sua moglie, Anna d'Austria."
pt,"Foi proposto por A.Rich. & Galeotti, em 1845, publicado em Annales des Sciences Naturelles; Botanique, sér."
es,"El Batallón Nachtigall, también conocido como el Grupo de Batallón de Ruiseñor de Ucrania, u oficialmente como Grupo Especial Nachtigall, era la subunidad bajo el mando de la unidad de operaciones especiales de la Abwehr alemana"
tr,William Shakespeare'in kurmuş olduğu Globe Theatre bu semttedir.
zh,落羽松属 又名落羽杉属，是柏科下的一个属，为落叶或半常绿乔木植物。
ko,"브란겔섬(러시아어: Остров Вра́нгеля, Wrangel Island)은 북극해, 동시베리아해와 축치해사이에 있는 러시아의 섬이다."
ja,工学博士。
pt,"Haruna Kojima é uma atriz, modelo e cantora japonesa, foi uma das integrantes mais populares do Time A do grupo AKB48."
ja,マサリコス（Mazaricos）はスペイン、ガリシア州、ア・コルーニャ県の自治体。
de,"Mário Sérgio Pontes de Paiva, genannt Mário Sérgio, war ein brasilianischer Fußballspieler."
it,Lo sparviero pigmeo del Sudamerica è un uccello rapace della famiglia degli Accipitridi.
tr,9 Haziran 2012 yılından bu yana Merkez Parti lideri olmuştur.
ja,最寄の演習場は、新屋演習場。
vi,"Công ty cổ phần Tập đoàn Trường Hải là một tập đoàn đa ngành hoạt động trong lĩnh vực sản xuất và lắp ráp ô tô, nông nghiệp, cơ khí chế tạo, công nghiệp hỗ trợ, đầu tư xây dựng, thương mại, dịch vụ và giao nhận vận chuyển được thành lập vào ngày 27 tháng 4 năm 1997 có trụ sở chính tại Tòa nhà Sofic, số 10 Mai Chí Thọ, phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam."
ar,كولدو سيرا ‏ هو كاتب سيناريو ومخرج إسباني ، ولد في 15 أبريل 1975 في بلباو في إسبانيا .
vi,Sân được khánh thành vào tháng 9 năm 1928.
it,"Nikolai Mašitšev è un calciatore estone, centrocampista del TJK Legion."
de,"Thomas Posth ist ein deutscher Musiker, Dirigent und Konzertdesigner."
tr,"5,6 km² yüzölçüme sahiptir."
zh,瑞巖城堡体现了位于沙漠中的城堡的所有建筑特征。
pt,É exibida pela NBC de 30 de novembro de 2015 a 25 de março de 2021.
de,für Schulsegelflugzeuge verwendet.
zh,该属現共有3种，分布于北美及墨西哥。
ru,Он продается на большинстве экспортных рынков за пределами Китая под маркой MG.
tr,"Kosta Rika ile 1969 ve 1989'da şampiyonluğa ulaşan Marvin Rodríguez ve Amerika Birleşik Devletleri ile 1991'de, Meksika ile 1996'da Bora Milutinović ise birden fazla şampiyonluk elde eden diğer teknik direktörlerdi."
pt,Laura H. Greene é uma física estadunidense.
ko,"그들의 후속 공동 작업인 《Porgy and Bess》 (1959년)와 《Sketches of Spain》 (1960년)과 함께, 《Miles Ahead》는 재즈, 유럽 클래식, 그리고 월드 뮤직의 융합인 서드 스트림의"
vi,"Những hình thức bóng đá này có nguồn gốc chung và được gọi là các ""football codes""."
de,Lillian Diana Gish war eine US-amerikanische Schauspielerin.
vi,Chiến dịch Masher hay trận Bồng Sơn diễn ra từ 28 tháng 1
es,Fue inaugurado el 7 de junio de 2009.
en,"As of the 2020 census, the population was 29,220."
vi,Đảng Cộng sản Việt Nam.
tr,1666
en,"During his last term, he was deposed by Miguel Primo de Rivera."
en,"On 1 January 2020, the village had 2,045 inhabitants."
ko,한자로 개선(疥癬)이라고 일컫는다.
pt,O nome do gênero é uma homenagem ao botânico italiano H. Galeotti.
es,La pagaza australiana es una especie de ave charadriiforme de la familia Laridae encontrada en Australia y Nueva Guinea.
vi,"Chủ nghĩa Việt Nam trong 10 năm, từ tháng 2 năm 1987 đến tháng 9 năm 1997."
fr,Cet article présente les épisodes de la treizième saison de la série télévisée française Section de recherches.
vi,Bài hát sau đó được hãng Big Machine Records phát hành dưới dạng phiên bản đĩa đơn CD giới hạn trên trang web chính thức của Swift vào ngày 10 tháng 8 năm 2011 như là đĩa đơn thứ năm trích
en,17 km from Buldana.
de,"Josef Pembaur der Ältere war ein österreichischer Dirigent, Komponist und Musiklehrer."
pt,"Foi a segunda vez que o Japão organizou as Olimpíadas de Inverno, sendo a última vez em Sapporo 1972."
vi,"""Sparks Fly"" được phát trên các đài phát thành nhạc đồng quê ở"
es,Se encuentra a 66 km de Chennai y a 7 km de Kanchipuram.
de,"Marie Sophie Schwartz, geborene Birath, war eine schwedische Autorin."
tr,"1963'teki ilk turnuvada Kosta Rika, Alfredo Piedra'nın teknik direktörlüğünde şampiyonluğa ulaştı."
pt,Pertence à classe espectral F2III-IV.
es,Marcel Carlos Paul Gaston Delaplane fue un deportista francés que compitió en remo.
de,"Jahrhunderts, in denen Alltagssprache und lyrischer Ausdruck miteinander verschmelzen."
ru,"Сере — коммуна на юге Франции, департамент Восточные Пиренеи, регион Лангедок — Руссильон — Юг — Пиренеи."
ja,旧香港上海銀行長崎支店（きゅうホンコンシャンハイぎんこうながさきしてん）は、イギリスの銀行である香港上海銀行の旧長崎支店を引き継いだ記念館である。
ja,俵 国一 は、日本の冶金学者。
ja,師団主計官。
tr,"11 farklı millete mensup teknik direktör şampiyonluk yaşarken milletler bazında 9 şampiyonlukla Meksikalı teknik direktörler, turnuvanın en çok kazananları konumundadır."
fr,"Il a débuté en juillet 2012 et s'est terminé en mars 2015 à l'occasion d'une conférence finale à Torquay, en Angleterre."
de,Sie ist seit 2020 Senatorin für Justiz und Verbraucherschutz der Freien und Hansestadt Hamburg.
en,"At the Night Side is the third live album by Buck-Tick, released on April 7, 2004."
es,"En el año 2010 tenía una población de 1365 habitantes y una densidad poblacional de 16,91 personas por km²."
ko,단선 승강장 1면 1선의 구조를 갖춘 지상역이다.
ja,駐屯地司令は、第21普通科連隊長が兼務。
fr,"Le Lac Sougoïak est un lac de Russie, situé au sud-est de l'Oural, dans le raïon Krasnoarmeïski de l'oblast de Tcheliabinsk."
it,"Villa Maruzzi, Marcello è una villa veneta situata a Levada, frazione di Piombino Dese."
ko,"오카노 유이치로(일본어: 岡野 祐一郎, 1994년 4월 16일 ~ )"
es,Anteriormente se consideraba una subespecie de la pagaza piconegra.
vi,"Ngoài ra, câu lạc bộ K3 League Busan Transport Corporation FC đã thi đấu các trận đấu trên sân nhà tại sân vận động này từ năm 2006"
zh,電影被收入國家電影登記部，並且被選入AFI百年百大電影。
zh,空间探测器（英語：）也称深空探测器，是用于探测地球以外天体和星际空间的无人航天器。
ja,クリストファー・ジオレット・ドゥアルテ は、ドミニカ共和国のプロバスケットボール選手。
ko,1월 20일에 방영이 시작됐으며 2013년 9월 29일에
ja,住民呼称はmazaricán/-cá。
de,"Tinkoff war ein Radsportteam, das von 2001 bis 2014 mit einer dänischen und danach bis zu seiner Auflösung zum Ablauf der Saison 2016 mit"
ru,Министерстве внутренних дел Республики Беларусь.
en,"Esteghlal are by far Iran's most successful international representatives: no other teams from that nation have won Asia's premier competition more than once, or have more than two trophy wins overall."
tr,"Belediye, ülkenin kuzeybatısında Polog bölgesinde yer almaktadır."
es,Nattapettai es una ciudad censal situada en el distrito de Kanchipuram en el estado de Tamil Nadu (India).
vi,Bóng đá là tên gọi chung của một nhóm bao gồm nhiều môn thể thao đồng đội khác nhau nhưng đều có liên quan tới việc đá một trái banh vào khung thành để ghi bàn thắng.
tr,Ayrıca bir türk yapımı korku filmi olan Dabbe filmi de Kairo filminden uyarlanmıştır.
ko,《브레이킹 배드》(Breaking Bad)는 빈스 길리언이 감독 및 제작하고 AMC에서 방영한 미국 범죄 드라마이다.
en,"Its content was recorded at four different concerts in three different places; Hibiya Yagai Ongakudo on June 28 & 29 2003, NHK Hall on April 10, 2003, and Shibuya-AX on April 30, 2003."
en,"He was formerly acting National Security Adviser, having taken over the role while David Frost continued as the United Kingdom's Chief Negotiator to the European Union during the Brexit negotiations."
de,"Als Spieler stand er bis 2012 in Tschechien, den Niederlanden und in Deutschland unter Vertrag und war Mannschaftskapitän der tschechischen Nationalmannschaft."
en,"This combined with its small size, makes it so that much of the daily life of its inhabitants centers around the nearby city of Roosendaal."
ko,"Garry Mendes Rodrigues, 1990년 11월 27일 ~ )는 네덜란드에서 태어난 카보베르데의 축구 선수로 현재 튀르키예 쉬페르리그의 앙카라귀쥐에서 윙어로 활동 중이다."
vi,người ta thường chỉ đề cập đến hình thức bóng đá phổ biến nhất ở vùng được sử dụng từ ngữ này.
ko,"""Breaking Bad""라는 제목은 미국 남부의 구어체로 '지옥을 일으키자' 혹은 '막가자'라는 뜻을 담았다."
vi,"Swift đã viết bài hát này trước khi phát hành album phòng thu đầu tiên mang chính tên cô vào năm 2006,"
tr,"Ecem Güzel,, Türk yelkencidir."
fr,"Le Ludwigslied ou Rithmus Teutonicus est un poème écrit en vieux haut-allemand, en l'honneur de la victoire de l'armée franque de Louis III de France sur les Danes (Vikings)"
ja,秋田駐屯地 は、秋田県秋田市寺内将軍野1に所在し、第21普通科連隊等が駐屯する陸上自衛隊の駐屯地である。
tr,Veneto bölgesinde bulunan bir komündür.
vi,HMS Suffolk (55) là một tàu tuần dương hạng nặng thuộc lớp County của Hải quân Hoàng gia Anh Quốc và thuộc lớp phụ Kent.
ko,"Florin Gelu Zalomir, 1981년 4월 21일~2022년 10월 3일)는 루마니아의 펜싱 선수로 주 종목은 사브르이다."
ko,엘프는 실험적으로 오스트레일리아 국립 고양이(ANCATs) 품종 목록에 포함되었다.
vi,Mỹ ấn
vi,được làm
en,Lyle Ellsworth Douglass was a member of the Wisconsin State Assembly.
zh,阿姆兰 是法国芒什省的一个市镇，属于阿夫朗什区。
vi,Câu lạc bộ bóng đá chuyên nghiệp Busan IPark đã thi đấu các trận đấu trên sân nhà tại sân vận động này từ năm 1987 đến năm 2002 và từ năm 2015
es,El municipio de Shelton es un municipio ubicado en el condado de Buffalo en el estado estadounidense de Nebraska.
vi,"Thể thao Đông Á 1997, sân đã tổ chức lễ khai"
ko,hominis)의 기생에 의한 피부 감염을 말한다.
vi,"Nhóm nấm này có tên thông dụng là ""tai đất da"" trong tiếng Anh."
en,Siberia To-day is a first-hand account of the Allied intervention in the Russian Civil War by intelligence officer Frederick Ferdinand Moore published in 1919.
en,Gallia County is a county located in the U.S. state of Ohio.
ja,うらわ美術館（うらわびじゅつかん）は、埼玉県さいたま市浦和区仲町二丁目にあるさいたま市の公立（市立）美術館である。
ru,Главное управление по борьбе с организованной преступностью и коррупцией (ГУБОПиК) — управление в
it,Rupt-en-Woëvre è un comune francese di 311 abitanti situato nel dipartimento della Mosa nella regione del Grand Est.
es,Fue descrita científicamente por Cresson en 1879.
ar,هوستون الكسندر ‏ هو فنان قتال مختلط أمريكي ، ولد في 22 مارس 1972 في سانت لويس الشرقية ‏ في الولايات المتحدة .
vi,"Alien Trilogy là một game bắn súng góc nhìn thứ nhất do hãng Probe Entertainment phát triển và Acclaim Entertainment phát hành cho các hệ máy PlayStation, Sega Saturn và MS-DOS vào năm 1996."
pt,"Como atleta, ele atuou pelo Los Angeles Dodgers, Cleveland Indians, Boston Red Sox, New York Mets, Texas Rangers e Washington Nationals, de 1998 a 2011."
es,"El actual gobierno del Partido Reformista y del IRL continuó en el cargo hasta 2014, cuando el primer ministro Andrus Ansip dimitió, poniendo fin a su mandato como el primer ministro con más años de servicio en la historia contemporánea de Estonia."
tr,"Yegunovçe, Kuzey Makedonya'da bir köy ve belediyelerinden biridir."
ko,2018년 12월 기준으로 인구는 5771명이다.
ko,주요 전투는 오스트레일리아 순양함이 중국인민지원군에 의해 공격을 받은 직후에 발발했다.
it,Salvizinet è un comune francese di 636 abitanti situato nel dipartimento della Loira della regione dell'Alvernia-Rodano-Alpi.
ja,llの発音から日本語表記ではピキージョと表記することもある。
pt,"1409 foi um ano comum do século XV do Calendário Juliano, da Era de Cristo, e a sua letra dominical foi F, teve início a uma terça-feira e terminou também a uma terça-feira."
en,"Manuel García Prieto, 1st Marquis of Alhucemas was a Spanish politician who served as prime minister several times in his life and as the 30th Solicitor General of Spain."
de,Gerhard Adolf Janensch war ein deutscher Bildhauer und Medailleur.
zh,《香港法例》與《警察通例》的香港警察的稱呼。
pt,Superstore é uma série de televisão estadunidense do gênero sitcom criado por Justin Spitzer e estrelada por America Ferrera e Ben Feldman.
es,Está formada por la unión de 8 municipios agrupados en 2 microrregiones.
ko,이전까지 국제 연합의 함선들은 중공군의 제한된 저항에만 대처했고 한강에서 양측 간의 직접적 교전은 발생하지 않았다.
ko,2008년
de,im Rhein verankerten Pontons schwimmende Brückenkonstruktion.
vi,"Tên của chiến dịch ""Masher"" về sau được đổi thành ""Cánh Trắng"" vì tên cũ bị coi là khá thô thiển."
de,Wasserfall ist etwa 5 bis 9 Meter hoch.
zh,《日出》（英語：）是由德国导演F·W·穆瑙执导的一部美國默片，於1927年上映。
zh,空间探测器的基本构造多与人造地球卫星相近，但探测器通常用于执行某一特定探測或調查的任务，因而会携带相应的特殊设备。
pt,"Estende-se por uma área de 12,86 km²."
ja,"ターナー・レイトン作曲, ヘンリー・クリーマー作詞。"
ja,長庚大学 は、台湾桃園市亀山区文化一路259号に本部を置く台湾の私立大学。
fr,"La gare de Kleine Scheidegg est une gare et un carrefour ferroviaire situé au sommet de Kleine Scheidegg, un col montagneux dans la région de l'Oberland bernois en Suisse."
tr,"Laser Radial sınıfında yarışan Güzel, Galatasaray Yelken takımının bir üyesidir."
ru,"Страна дебютировала в 1957 году, с тех пор участвуя почти ежегодно, за исключением 9 отказов и 2 дисквалификаций."
zh,水虎魚裝甲車 為瑞士摩瓦哥公司（MOWAG）所設計製造之輪式裝甲車，根據車輪數有4x4、6x6、8x8和10x10版本，是歐美國家使用甚廣的車系，例如加拿大、澳洲和智利等國均有採購，已經發展到第五代。
ko,다음은 대한민국의 배우 송중기의 작품 목록이다.
ru,Объём журнала 64 полосы.
de,Seit September 2018 ist er Co-Trainer der tschechischen Nationalmannschaft.
en,"Esteghlal F.C. are a football club based in the city of Tehran, Iran."
es,El distrito de Nyíradony es un distrito húngaro perteneciente al condado de Hajdú-Bihar.
ko,2008년 하계 올림픽 투발루 선수단은 중화인민공화국 베이징에서 개최된 2008년 하계 올림픽에 참가한 올림픽 투발루 선수단이다. 2008년
tr,Komünün nüfusu 896 kişidir ve nüfus yoğunluğu kilometrekare başına 51 kişidir.
ko,《Unplugged》는 캐나다의 싱어송라이터 닐 영이 1993년 6월 15일 리프리즈 레코드에서 발매한 라이브 음반이다.
vi,Những năm
ja,Piquilloとはスペイン語で「小さなくちばし」を意味する。
ko,"기준으로 587,960명이다."
en,It is named in honour of the American physicist Marcus O'Day.
fr,Il a été financé par le programme Programme INTERREG France (Manche) - Angleterre.
en,It is located 29 km towards west from District headquarters Buldhana.
tr,Women's National Basketball Association (WNBA) ekiplerinden New York Liberty forması giymektedir.
ru,"Административный центр кантона Валеспир-Албере, округ Сере."
ko,미야기현 이시노마키시 출신이다.
de,russischer Lizenz betrieben wurde.
fr,"La saison 2018-2019 du Championnat de république démocratique du Congo de football est la soixante-deuxième édition de la première division en république démocratique du Congo, la Ligue Nationale de Football."
ja,住民呼称はrianxeiro/-a。
es,"Estaba compuesto por voluntarios nacionalistas ucranianos, que operaban bajo las órdenes OUN de Stepán Bandera."
ko,3명의 선수를 파견했으며 두 종목에 참가하게 되었다.
tr,"Dikici, Afyonkarahisar ilinin Dinar ilçesine bağlı bir köydür."
es,"Hinacourt es una comuna francesa situada en el departamento de Aisne, de la región de Alta Francia."
es,"Adela Christian Bach Bottino conocida por su nombre artístico Christian Bach, fue una actriz y productora argentinomexicana."
