labels,text
it,"Jules Jordan, pseudonimo di Ashley Gasper, è un regista, manager ed ex attore pornografico statunitense, dirigente della società di produzione pornografica che porta il suo nome."
en,"""Mississippi Cotton Picking Delta Town"" is a song written by Harold Dorman and George Gann, and recorded by American country music artist Charley Pride. It was released in August 1974 as the first single from his album Pride of America. The song peaked at number 3 on the Billboard Hot Country Singles chart. It also reached number 1 on the RPM Country Tracks chart in Canada."
ja,HD 10180は、太陽に似たG型主系列星である。
ar,المُباح أو الحَلال هو مُصطلح ديني يُستعمل في الفقه الإسلامي للدلالةِ على العَمل الذي لا يُثاب فاعلهُ ولا يُؤثم تاركه، وهو أحد الأحكام الخمسة على الأشياءِ والأفعال وهي الفرضية والاستحباب والإباحة والكراهة والتحريم. وتطلق أيضاً على الطعام المباح.
ar,خافي ماركيز ‏ لاعب كرة قدم إسباني يلعب حاليا لصالح نادي الدرجة الأولى إسبانيول الإسباني منذ 2005 في مركز الوسط المحوري كما يجيد اللعب في مركز الوسط الأيسر.
it,"Ron Carey, pseudonimo di Ronald Joseph Cicenia, è stato un attore statunitense."
it,"Alessandro Alfieri è un politico italiano, senatore della Repubblica per il Partito Democratico dal 2018."
it,"Otěšice è un comune della Repubblica Ceca facente parte del distretto di Plzeň-jih, nella regione di Plzeň."
it,Mogibacterium neglectum è una specie di batterio appartenente alla famiglia delle Eubacteriaceae.
tr,"NGC 4503, Yeni Genel Katalog'da yer alan bir galaksidir. Gökyüzünde Yelken takımyıldızı yönünde bulunur. SB0 tipi bir çubuklu sarmal galaksidir. İngiliz astronom William Herschel tarafından 1784 yılında 47,5 cm çaplı aynalı tip bir teleskopla keşfedilmiştir."
fr,"Au-dessus de la mêlée est un texte sur la Première Guerre mondiale écrit par Romain Rolland le 15 septembre 1914 et publié en supplément du Journal de Genève du 22 septembre. C'est aussi sous le titre Au-dessus de la mêlée qu'est réunie, chez Paul Ollendorff en novembre 1915, la série d'articles qu'il a écrits en Suisse au début du conflit, parus dans divers périodiques du 29 août 1914 au 1er septembre 1915."
vi,"Dağeteği là một xã thuộc thành phố Şanlıurfa, tỉnh Şanlıurfa, Thổ Nhĩ Kỳ. Dân số thời điểm năm 2011 là 1.167 người."
en,"The 2003 Coupe de France final was a football match held at Stade de France, Saint-Denis on 31 May 2003. In it, AJ Auxerre defeated Paris SG 2-1 with goals from Djibril Cissé and Jean-Alain Boumsong."
zh,马尾杉，为石杉科马尾杉属下的一个植物种。
en,"The Girl Who Knew Too Much is a 1969 neo noir film starring Adam West as Johnny Cain, a nightclub owner and former freelance adventurer who is forced out of retirement when a crime syndicate boss is murdered in his nightclub and investigations lead into unexpected areas. It was the final film of director Francis D. Lyon and United Pictures Corporation."
th,โคไตชิฮิ (皇太子妃) หรือ มกุฎราชกุมารี พระอิสริยยศสำหรับพระชายาของรัชทายาทหรือมกุฏราชกุมารแห่งญี่ปุ่นซึ่งมีมาแต่ครั้งโบราณกาล
es,Alestes schoutedeni es una especie de peces de la familia Alestiidae en el orden de los Characiformes.
it,"L'esplorazione di Marte è una parte importante delle missioni di esplorazione spaziale dell'Unione Sovietica e della Federazione russa, degli Stati Uniti e dell'Europa; alle organizzazioni di tali paesi si sono aggiunte dagli anni 2010 India e Cina. Dagli anni sessanta sono state inviate verso Marte dozzine di sonde automatiche senza equipaggio, che includevano orbiter, lander e rover, per raccogliere dati e rispondere a domande sul pianeta rosso e il suo passato, che potrebbero portare a scoperte ulteriori per il passato, presente e futuro della Terra."
th,ปลวกแดง เป็นอำเภอหนึ่งของจังหวัดระยอง
ja,能代南インターチェンジ（のしろみなみインターチェンジ）は、秋田県能代市にある秋田自動車道のインターチェンジである。
fr,"Ganesh Geymeier, né en 1984 à Lausanne, est un saxophoniste suisse d'origine germano-malaisienne."
en,"Gavin Christopher Tennille, known as Quelle Chris, is an American record producer, rapper and songwriter from Detroit, Michigan. He has released over 15 albums as a solo act and with his collaborative projects. He has been described as a student of Detroit hip hop."
tr,"Moğolistan bayrağı, Moğolistan'ın günümüzde kullanımda olan bayrağı."
es,"La escalera del divino ascenso, es un importante tratado escrito por San Juan Clímaco alrededor del año 600 que muestra el camino para lograr una correcta vida religiosa por parte de los monjes, representada con una escala de treinta escalones que sube al Paraíso. El símbolo se convirtió en un icono popular en el cristianismo medieval oriental, donde se extendió para representar la vida de cualquier creyente, un camino de perfección donde varias tentaciones hacían retroceder y las ayudas del cielo hacían avanzar en la escala. La elección de la escala proviene de la bíblica Escalera de Jacob, y los escalones indican que la perfección se puede alcanzar con pequeños pasos en la vida diaria pero que implica un proceso gradual. El número treinta hace referencia a los años que vivió Jesús antes de su bautismo y el inicio de su ministerio."
ja,貞照寺（ていしょうじ）は、岐阜県各務原市鵜沼宝積寺町にある真言宗智山派の寺院である。
ja,北京駅（ペキンえき）は、中華人民共和国北京市東城区にある、中国国家鉄路集団（CR）の駅。北京鉄路局管轄の特等駅である。
th,พรรณานิคม เป็นอำเภอหนึ่งของจังหวัดสกลนคร
ru,"Charadrahyla (лат.) — род бесхвостых земноводных из семейства квакш. Родовое название произошло от греческого др.-греч. charadra — «овраг» и латинского лат. Hyla — «квакша», и связано с образом жизни представителей рода. Род был создан в 2005 году после серьезной ревизии семейства Hylidae. Пять видов данного рода ранее входили в род Hyla. Также добавлены два новых вида и еще два были перенесены из рода Exerodonta в 2018 году на основе молекулярных исследований. Являются сестринской группой рода Megastomatohyla."
fr,L’église du Saint-Esprit de Flensbourg est l'église de l'Église danoise dans le Schleswig du Sud à Flensbourg. Elle se trouve dans la Große Straße.
fr,Ángel Gabilondo Pujol est un universitaire et homme politique espagnol né le 1er mars 1949 à Saint-Sébastien. Il est proche du Parti socialiste ouvrier espagnol (PSOE).
zh,《邪恶无休》（英語：）是美国超自然题材电视剧《邪恶力量》第三季的第16集，也是这季的最后一集和全剧的第60集。剧集主创人埃里克·克莱普克担任编剧，金·曼纳斯导演，于2008年5月15日通过CW电视网首播。节目剧情讲述主人翁萨姆·温彻斯特（杰瑞·帕达里基饰）和迪恩·温彻斯特（詹森·艾克尔斯饰）兄弟俩在美国本土各地猎杀超自然生物，试图挽救迪恩的灵魂免遭诅咒。迪恩在上季结尾与恶魔达成一年契约，到这集时只剩下最后一天生命。兄弟俩必须找到持有迪恩契约的邪灵霸主莉莉斯。与此同时，莉莉斯还附身在一个小女孩身上，恐吓她的家人为乐，这一情节设计是在向《迷离时空》第3季第8集《美好生活》（）致敬。
fr,"Hermann Scheer est un homme politique allemand. Docteur en sciences sociales et en économie, il a été un élu social-démocrate (SPD) au Bundestag. Il est récipiendaire d'un prix d'honneur du prix Nobel alternatif en 1999."
th,อาสนวิหารนักบุญโบนาเวนตูรา ในนครบันยาลูกา เป็นอาสนวิหารนักบุญโบนาเวนตูรา และเป็นหนึ่งในอาสนวิหารโรมันคาทอลิก 4 แห่งในประเทศบอสเนียและเฮอร์เซโกวีนา เป็นอาสนวิหารประจำสังฆมณฑลบันยาลูกา
es,"Golden Edge es un canal de televisión por suscripción latinoamericano de origen mexicano, perteneciente a TelevisaUnivision, operado por su subsidiaria Televisa Networks. Transmite para toda Latinoamérica."
th,ยานิก เฟร์เรย์รา การ์รัสโก เป็นนักฟุตบอลชาวเบลเยียม ปัจจุบันเล่นในตำแหน่งปีก และวิงแบ็กให้กับอัตเลติโกเดมาดริด และทีมชาติเบลเยียม
es,"Saint-Rémy-de-Chargnat  es una comuna y población de Francia, en la región de Auvernia, departamento de Puy-de-Dôme, en el distrito de Issoire y cantón de Sauxillanges."
it,Cannon Street è una stazione della metropolitana di Londra servita dalle linee Circle e District.
vi,Mauny là một xã thuộc tỉnh Seine-Maritime trong vùng Normandie miền bắc nước Pháp.
th,"อันเดรย์ อันโตโนวิช เกรชโค เป็นผู้บัญญาการโซเวียต, จอมพลแห่งสหภาพโซเวียต และ รัฐมนตรีว่าการกระทรวงกลาโหมโซเวียต"
ar,شون غرين ‏ هو لاعب كرة قاعدة أمريكي، ولد في 10 نوفمبر 1972 في ديس بلينس في الولايات المتحدة.
ru,"Томас Бейтс — английский рекузант, участник Порохового заговора."
es,Salvia sylvestris es una planta herbácea perteneciente a la familia de las lamiáceas.
zh,掠奪者（Marauder）是由南非專營國防、保安、維和的派拉蒙集團 製造的一款防雷裝甲車。2007年於中東最大規模的軍火展覽－阿布扎比國際防務展覽會（IDEX）中首次公開。
it,Il timo maggiore è una pianta perenne aromatica appartenente alla famiglia delle Lamiaceae.
zh,波利卡尔波夫 I-5（俄語：） 是一个单座双翼飞机，為蘇聯在西元1931年－1936年的主力戰鬥機機型，退出前線後的它轉為進階訓練用機。巴巴罗萨行动後，苏联空军喪失了許多武力，倖存的I-5被配备了四挺机枪和炸弹架，並在西元1941年作為輕型地面攻击机和夜间轰炸机再次投入作戰。1942年早期，蘇聯終於有能力恢復生產和現代化地面攻擊機，如伊尔-2等新型機種，隨著新機種的推出，I-5漸漸退出戰場，共计803架I-5被製造出來（包括3个原型）。
fr,"William Jennings Sheffield Jr., dit Bill Sheffield, né le 26 juin 1928 à Spokane et mort le 4 novembre 2022 à Anchorage (Alaska), est un homme politique américain."
zh,ROVER，香港全主唱流行樂隊，其四名成員皆為香港ViuTV選秀節目《全民造星V》的參賽者，於2024年2月29日出道。成員包括卓金樂（Kim）、雷濠權 、陳鎮亨（亨仔）、王希晉（希晉）。
tr,"Bataklıçiftlik, Düzce ilinin merkez ilçesine bağlı bir köydür."
ru,"Кумлинге — община в Финляндии, на Аландских островах. Включает в себя группу маленьких островков между главным островом Аланд и материковой Финляндией. Население составляет 363 человека ; занимает территорию 860,38 км², из которых 761,12 км² заняты водой. Плотность населения — 3,67 чел/км²."
zh,拉斐爾·納達爾·帕雷拉，暱稱拉法（），西班牙職業男子網球運動員，至今贏得22座大滿貫冠軍，也是歷史第七位男子生涯單打全滿貫及第二位男子生涯單打金滿貫得主，職業網球公開時代首位西班牙年終球王。他創紀錄在法網男單冠軍14度封王，兩度達成全滿貫壯舉，奧運男單、男雙金牌，以及大師賽36個冠軍，合計男子單打冠軍總數92個。現今單打世界排名跌破200名。
fr,"Robert Charbel Farah Maksoud, né le 20 janvier 1987 à Montréal au Canada, est un joueur de tennis colombien, professionnel entre 2010 et 2023."
en,"Soldiers Chapel is a non-denominational Christian memorial chapel in Big Sky, Gallatin County, Montana, USA, dedicated in 1955 by the Nelson Story family in tribute to a fallen family member of the 163rd Infantry Regiment. The regiment was part of the Montana National Guard during World War II. Open daily from Memorial Day through Labor Day, with services at 11 a.m. on Sundays, the chapel is popular for special events such as weddings. The chapel is at an elevation of 6,017 feet (1,834 m)."
ru,"Эш — грузовой паровоз типа 0-5-0, выпускавшийся в Швеции с 1921 по 1924 год по заказу Советской России. По конструкции аналогичен паровозам серии Э «типа 1917 года»."
ru,"Божество плодородия — это бог или богиня в мифологии народов мира, связанные с плодородием и урожаем, а также зачастую с сексуальностью, беременностью и деторождением. В некоторых случаях эти божества напрямую связаны с этими явлениями; в других они представляют собой более абстрактные символы. Обряды плодородия могут сопровождать поклонение им. Ниже приводится список божеств плодородия."
fr,"Pierre-Marin Rouph de Varicourt, était un prêtre catholique, représentant du clergé aux États généraux, député à l'Assemblée constituante de 1789 puis évêque d'Orléans en 1817."
fr,"La Tour Ciana, est une tour côtière située dans la commune de Monte Argentario,, en Toscane Son emplacement se trouve sur la côte sud du promontoire de l'Argentario, proche de la Tour Avvoltore."
th,ลูซิเฟอร์ คือวงดนตรีเจป็อปในแนววิชวลเค ก่อตั้งเมื่อปี พ.ศ. 2542 และแยกวงในปี พ.ศ. 2546
fr,"Iggesund est un village de la commune d'Hudiksvall, dans le Comté de Gävleborg, en Suède."
tr,"Savaş Vadisi, İkinci Dünya Savaşı'nda ateşli silah ya da savaş aleti taşımayı reddeden barış yanlısı Amerikalı savaş doktoru Desmond Doss hakkındaki, 2016 Amerikan yapımı biyografik savaş filmi."
en,"Cybersex is the second commercial mixtape by American singer Blackbear, released on November 27, 2017, by Beartrap, Alamo Records, and Interscope Records. It was preceded by two official singles; ""Playboy Shit"" featuring Lil Aaron and ""Up In This"" with Tinashe."
ja,関越自動車道 は、東京都練馬区の練馬インターチェンジ (IC) から埼玉県、群馬県を経由し新潟県長岡市の長岡ジャンクション (JCT) へ至る高速道路（高速自動車国道）。略称は関越道（かんえつどう）、関越（かんえつ）。高速道路ナンバリングによる路線番号は「E17」が割り振られている。
ru,"Green Lantern: Rise of the Manhunters — компьютерная игра по мотивам фильма студии Warner Bros. Pictures «Зелёный Фонарь». Релиз состоялся 7 июня, почти одновременно с датой выхода фильма в прокат. Версия для консоли Nintendo 3DS поддерживает все возможности системы, а именно 3D изображение без специальных очков, а также в комплект версий для Xbox 360 и PlayStation 3 войдут анаглифные очки, с помощью которых можно воспроизвести 3D на обычных экранах."
it,"La sulfoacetaldeide acetiltransferasi è un enzima appartenente alla classe delle transferasi, che catalizza la seguente reazione:acetil fosfato + solfito ⇄ 2-sulfoacetaldeide + 3-fosfato"
zh,伊尔维亚克 是法国菲尼斯泰尔省的一个市镇，属于布雷斯特区。
vi,"Động đất quần đảo Aleut 1946 xảy ra gần quần đảo Aleut, Alaska vào ngày 1 tháng 4. Trận động đất có độ lớn 8,6 trên thang độ lớn mô men và cường độ VI (mạnh) trên thang đo Mercalli. Nó dẫn đến 165-173 thương vong và thiệt hại hơn 26 triệu đô la Mỹ. Đáy biển dọc theo đứt gãy được nâng lên, gây ra một trận sóng thần tầm cỡ Thái Bình Dương với các cơn sóng có sức phá huỷ cao có độ cao từ 14–40 m. Sóng thần san bằng ngọn hải đăng Scotch Cap trên đảo Unimak, Alaska và giết tất cả năm người trông coi ngọn hải đăng. Mặc dù gây ra sự hủy diệt cho đảo Unimak, sóng thần đã gần như không gây hại vùng đất liền Alaska. Sóng chạm tới Maui, Hawaii 4,5 giờ sau động đất, và Hilo, Hawaii 4.9 giờ sau. Những bản xứ Hawaii đã hoàn toàn mất cảnh giác trước cơn sóng thần do không thể truyền cảnh báo từ ngọn hải đăng Scotch Cap đã bị phú huỷ. Tác động của sóng thần cũng chạm đến bờ biển phía Tây của Hoa Kỳ."
tr,"Gonca, Sakarya ilinin Pamukova ilçesine bağlı bir mahalledir. 1960 yıllarında adı Mesruriye olmuş ve 2019 yılında eski adı geri alındı. 93 Harbinden sonra mahalleye kadar değer bir Laz nüfus gelmiştir."
tr,FIFA 12 FIFA serisinin video oyunudur. Çıkış tarihi 30 Eylül 2011'dir.
ar,جودي دين ‏ هي مُنظرة سياسية ‏ وعالمة سياسة أمريكية، ولدت في 9 أبريل 1962.
it,"Il distretto di Sursee è un distretto del Canton Lucerna, in Svizzera. Confina con i distretti di Hochdorf a est, di Lucerna Campagna e di Entlebuch a sud, di Willisau a ovest e con il Canton Argovia a nord. Il capoluogo è Sursee. Ha sostituito, dal 1º gennaio 2013, l'omonimo Amt, di cui ricalca perfettamente il territorio. Comprende il lago di Sempach."
ja,F1世界選手権イン・ジャパン は、1976年のF1世界選手権第16戦として、1976年10月22日から10月24日にかけて富士スピードウェイで開催された。
ru,"Ви́льямс Жиже́ттович Тру́цци — советский цирковой артист, дрессировщик и цирковой администратор."
zh,拉德克利夫学院（英語：）曾是位于美国马萨诸塞州剑桥的一个女子文理学院，创建于1879年，为美国七姐妹学院之一。1963年始授予其毕业生哈佛-拉德克利夫联合文凭；1977年与哈佛签署正式合并协议；1999年全面整合到哈佛大学。
tr,"Sittard, Hollanda'nın en güneyindeki Limburg eyaletinde yer alan bir şehirdir. Bu kasaba Sittard-Geleen belediyesinin bir parçasıdır ve 2016 yılında yaklaşık 37.500 nüfusa sahiptir. Doğusunda Almanya'nın Selfkant belediyesi bulunmaktadır."
tr,"Spinosauridae, 10 ila 17 cinsten oluşan bir tetanuran teropod familyasıdır. Spinosaurid fosilleri Afrika, Güney Amerika, Avrupa ve Asya'da bulunmuştur. Kalıntılar genelde Erken Kretase ve Geç Kretase'nin başlarına tarihlendirilmiştir."
fr,"Le barrage de la Gileppe est un barrage hydraulique situé dans la partie orientale de la forêt du Hertogenwald, dans les Hautes-Fagnes belges. La retenue d'eau ainsi créée est essentiellement alimentée par la Gileppe et le ruisseau Louba."
th,"ทากาซากิ เป็นนครที่ตั้งอยู่ในจังหวัดกุมมะ ประเทศญี่ปุ่น ก่อตั้งเมื่อวันที่ 1 เมษายน 1900 จากข้อมูลเมื่อวันที่ 31 สิงหาคม 2020 ทากาซากิมีประชากรประมาณ 372,369 คน 167,345 ครัวเรือน ความหนาแน่น 810 คนต่อตารางกิโลเมตร และมีขนาดพื้นที่ทั้งสิ้น 459.16 ตารางกิโลเมตร เป็นนครที่มีประชากรมากที่สุดในจังหวัดกุมมะ หลังจากแซงหน้านครมาเอบาชิในปี 1990"
zh,滨海吕克 ）是法国卡尔瓦多斯省的一个市镇，位于该省北部，大西洋沿岸，属于卡昂区。
ru,"Кристиа́н Па́трик Томас — канадский хоккеист, нападающий. Сын хоккеиста Стива Томаса."
tr,Iława ilçesi Polonya'nın Varmiya-Mazurya voyvodalığında bulunan bir ilçedir. İlçenin nüfusu 31 Aralık 2020 tarihi itibarıyla 92.644'tür. İlçenin merkezi Iława şehridir.
ar,فليكن الله معنا، سورينام هو النشيد الوطني لسورينام، اعتمد رسمياً من قبل الحكومة في 15 ديسمبر 1959. المقطع الأول ، كتب باللغة الهولندية في عام 1893 من قبل القس جيم هويكسترا، قبل أن يضاف المقطع الثاني بلهجة سرانان طونغو من قبل الشاعر ه.ف دو زيال. الموسيقى التي نظمت عام 1876 لم تكن في البدء معدة لهذا الغرض.
tr,"Cerrahpaşa Tıp Fakültesi, 14 Mart 1827'de II. Mahmut tarafından kurulan Tıphane-i Amire'nin ve Mekteb-i Tıbbiye-i Şahane'nin devamı olan, Türkiye'nin ilk ve en köklü iki tıp fakültesinden biridir. Fakülte adını; bulunduğu semte ismini veren, III. Murad ve III. Mehmed devrinde sadrazamlık yapmış bir hekim olan Cerrah Mehmed Paşa'dan alır."
ar,ليليانا بورتر ‏ هي فنانة معاصرة تعمل في مجموعة متنوعة وواسعة من وسائل الإعلام، بما في ذلك التصوير، الطباعة، وسائل الإعلام المختلطة، التثبيت وكذلك فم ومهارة الفيديو.
ru,"Альберт Кабестани — испанский мототриалист, 3-кратный чемпион мира по мототриалу, 4-кратный чемпион Испании, 24-кратный победитель «Триала Наций» в составе команды Испании."
ar,جسر إلى تيرابيثيا هو فيلم أمريكي من إخراج غابور كسوبو، صدر 28 مارس 2007. السيناريو مقتبس من رواية كاترينا باتيرسون بعنوان جسر إلى تيرابيثيا.
en,"Digimon Rumble Arena 2, known as Digimon Battle Chronicle  in Japan, is a 2004 Digimon fighting video game, released by Bandai for the PlayStation 2, GameCube, and the Xbox. It is the sequel to 2001's Digimon Rumble Arena and has a similar style of gameplay as Super Smash Bros. Melee, except with a health meter. Digimon All-Star Rumble, a spiritual successor to the Rumble Arena games, was later released in 2014."
sv,"Enrique Pinti, Arjantinli aktör ve komedyendir."
es,Yumi Suzuki es una deportista japonesa que compite en curling.
en,"Grodziszczany, formerly known as Grodzisk, is a village in northeast Poland in the gmina of Dąbrowa Białostocka, Sokółka County, Podlaskie Voivodeship. As of 2021, it had a population of 267."
vi,"Kurudere là một xã thuộc huyện Karasu, tỉnh Sakarya, Thổ Nhĩ Kỳ. Dân số thời điểm năm 2008 là 2.675 người."
tr,"Osasko, Brezilya'nin Güney Bölgesi'ndeki São Paulo eyaletinin'nın kuzeyinde, eyalet başkenti São Paulo'dan 16 km uzaklıkta bir şehir."
th,"มาณิกกวาจกรร เป็นสันตะและกวีชาวทมิฬในสมัยศตวรรษที่ 9 ผู้ประพันธ์บทสวดบูชาพระศิวะ ติรุวสกัม, ติรุกโกไวยรร, ติรุเวมปาไว และเชื่อกันว่าอาจเป็นขุนนางในราชสำนักของกษัตริย์ปาณฑยะ วรคุณวรมันที่สอง"
ru,"Ави Коэн — израильский футболист и тренер, игрок национальной сборной (1976—1988)."
ru,"So — пятый студийный альбом британского рок-музыканта Питера Гэбриела, изданный 19 мая 1986 года, является первым не одноимённым альбомом музыканта. Многие песни этого диска писались в более традиционном поп-ключе и стали радиохитами, другие по-прежнему сохраняют тёмную, вдумчивую эмоцию экспериментальных работ исполнителя. В 2011 году Гэбриел пояснил: «Я достаточно поэкспериментировал с инструментальной музыкой, и хотел написать качественные поп-песни, хотя и в своём стиле»."
ar,آنا براكيت ‏ هي فيلسوفة أمريكية، ولدت في 1836 في بوسطن في الولايات المتحدة، وتوفيت في 18 مارس 1911 في سوميت في الولايات المتحدة.
es,"Tapinoma annandalei es una especie de hormiga del género Tapinoma, subfamilia Dolichoderinae. Fue descrita científicamente por Wheeler en 1928."
it,"L'Unione dei comuni Circondario dell'Empolese Valdelsa è un'unione di comuni di 167 720 abitanti della città metropolitana di Firenze, in Toscana. È formata dai comuni di: Capraia e Limite, Castelfiorentino, Cerreto Guidi, Certaldo, Empoli, Fucecchio, Gambassi Terme, Montaione, Montelupo Fiorentino, Montespertoli e Vinci."
zh,比爾·弗洛倫斯 是美国的一位政治人物。自2011年至2021年，他是德克萨斯州第17選舉區選出的聯邦眾議員。他的黨籍是共和黨。在踏入政壇之前，弗洛倫斯是一家石油公司的CEO。
ar,جاك ديلون ‏ مواليد 02 فبراير 1891 في فرانكفورت - الوفاة 07 أغسطس 1942 في تشاتاهوتشي، كان ملاكم أمريكي صنّف ضمن فئة الوزن الثقيل بدأ مسيرته الاحترافية سنة 1908. دخل قاعة مشاهير الملاكمة الدولية.
vi,Tricrania là một chi bọ cánh cứng trong họ Meloidae.
ru,Премьер-министр Кубы — действующий глава правительства Кубы. Нынешним премьер-министром является Мануэль Марреро Крус.
en,"""1000 Oceans"" is a song by Tori Amos, released as the second single from her 1999 album To Venus and Back. It reached number 22 on the Hot 100 Singles Sales, though it did not chart on the Hot 100. The song deals with issues of love and loss, and is based on the singer's personal experiences. It was released on September 7, 1999, and was generally well received by critics."
ru,"В список включены все кредитные организации России, у которых в 2007 году была отозвана или аннулирована лицензия на осуществление банковской деятельности."
zh,青尼罗河 发源于埃塞俄比亚塔纳湖，流经苏丹，最终在喀土穆与白尼罗河汇流成尼罗河，全长约1460-1600公里。尼羅河的定期氾濫正是由于青尼羅河，因其上游衣索比亞為熱帶草原氣候，分为干湿两个季节。
tr,"Dilong, Doğu Asya'nın alt Kretase döneminden kalma bir teropod dinozor cinsidir. 2004 yılındaki ilk bilimsel tanımlamanın yapıldığı sırada, yalnızca D. paradoxus türünün ait olduğu bu cins, bugüne kadar bulunan en eski tyrannosauroidlerden biriydi."
en,"James W. Waldman is a Democratic politician who served as a member of the Florida House of Representatives from 2006 to 2014, representing the 95th District from 2006 to 2012, and representing the 96th District, which included Coconut Creek, Margate, and Parkland in northeastern Broward County, from 2012 to 2014."
fr,"Judd Winick, né le 12 février 1970 à Long Island, est un scénariste de bande dessinée et de comics américain."
ru,Константи́н Ма́ркович Азадо́вский — советский и российский литературовед. Сын Марка Азадовского. Кандидат филологических наук.
tr,"Roland Freisler, Alman hukukçu, Nazi Almanyası'nın Adalet Bakanı ve müsteşarı."
ja,ららぽーと湘南平塚（ららぽーとしょうなんひらつか）は、神奈川県平塚市にある大型商業施設（ショッピングセンター）。
tr,"Baykonur, Kazakistan'da Ulıtav eyaletinin Ulıtav ilçesinden akan bir nehirdir."
th,วัดมะพร้าวเตี้ย เป็นวัดราษฎร์สังกัดคณะสงฆ์ฝ่ายมหานิกาย ตั้งอยู่ในแขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร มีที่ดินตั้งวัด 31 ไร่ 36 ตารางวา อาณาเขตทิศเหนือยาว 80 วา ติดต่อกับคลองบางเชือกหนัง ทิศตะวันออกยาว 55 วา ติดต่อกับคลอง ทิศใต้ยาว 78 วา ติดต่อกับซอยบางแวก 104 แยก 2 และทิศตะวันตกยาว 102 วา ติดต่อกับคลอง
ja,渡辺橋駅（わたなべばしえき）は、大阪市北区中之島三丁目にある、京阪電気鉄道中之島線の駅。駅番号はKH53。
tr,"Apeldoorn, Hollanda'nın orta kesimindeki Gelderland ilinin bir şehridir. Nüfusu 162.445 kişi (2019) olan Apeldoorn, bölgesel bir merkez olarak kabul edilir. Başkent Amsterdam'ın 96 km kadar doğusunda yer alır."
ru,"Благовещенская церковь — первая церковь в Красноярске, построенная по чертежам, третий каменный храм в городе."
es,"Jim O'Heir es un actor estadounidense. Actuó en los teatros de Chicago en los años 1980 y 1990 con la compañía de teatro White Noise, y fue parte de obras como The Book of Blanche, Stumpy's Gang y Ad-Nauseam con su grupo. O'Heir también ha tenido roles pequeños y eventuales en varias películas y series televisivas, tales como Friends, Boston Legal, Malcolm in the Middle, Star Trek: Voyager, ER y Parenthood."
